round,mse,r2,loss,bandwidth_MB,DP_noise_multiplier,DP_clip_norm
0,3607.4863738151284,-4.600326596731059,3607.4863333333333,0,0.05,2.0
1,3595.604240628634,-4.581880559902415,3595.60424609375,0.0054931640625,0.05,2.0
2,3566.787389966904,-4.537144763707503,3566.7874075520836,0.0054931640625,0.05,2.0
3,3446.7180718635072,-4.350746999184644,3446.718150390625,0.0054931640625,0.05,2.0
4,3168.5967095290403,-3.918986404354297,3168.596719401042,0.0054931640625,0.05,2.0
5,2980.517350049731,-3.6270086309014253,2980.517380859375,0.0054931640625,0.05,2.0
6,2671.528759985478,-3.147329197713926,2671.528740234375,0.0054931640625,0.05,2.0
7,2280.9158835311205,-2.540934757277138,2280.9158880208333,0.0054931640625,0.05,2.0
8,1811.7855641428903,-1.8126484291366012,1811.7855748697916,0.0054931640625,0.05,2.0
9,1170.632738952068,-0.8173112753920444,1170.6327581380208,0.0054931640625,0.05,2.0
10,856.5057424023203,-0.32965488774827745,856.5057399088541,0.0054931640625,0.05,2.0
